,,
Rank,Name,POS
1,A.Brown,WR
2,O.Beckham,WR
3,A.Peterson,RB
4,J.Jones,WR
5,T.Gurley,RB
6,E.Elliott,RB
7,D.Hopkins,WR
8,D.Johnson,RB
9,D.Freeman,RB
10,A.Green,WR
11,R.Gronkowski,TE
12,L.Bell,RB
13,A.Robinson,WR
14,L.Miller,RB
15,D.Bryant,WR
16,D.Martin,RB
17,J.Nelson,WR
18,M.Ingram,RB
19,B.Marshall,WR
20,E.Lacy,RB
21,A.Jeffery,WR
22,L.McCoy,RB
23,M.Evans,WR
24,S.Watkins,WR
25,J.Stewart,RB
26,B.Cooks,WR
27,C.Hyde,RB
28,J.Reed,TE
29,A.Cooper,WR
30,D.Thomas,WR
31,K.Allen,WR
32,C.Anderson,RB
33,J.Charles,RB
34,T.Rawls,RB
35,C.Newton,QB
36,T.Hilton,WR
37,J.Edelman,WR
38,D.Baldwin,WR
39,J.Landry,WR
40,M.Forte,RB
41,J.Hill,RB
42,J.Maclin,WR
43,R.Cobb,WR
44,E.Decker,WR
45,G.Tate,WR
46,D.Moncrief,WR
47,E.Sanders,WR
48,G.Olsen,TE
49,A.Rodgers,QB
50,R.Wilson,QB
51,K.Benjamin,WR
52,M.Floyd,WR
53,L.Fitzgerald,WR
54,J.Brown,WR
55,L.Murray,RB
56,R.Mathews,RB
57,D.Murray,RB
58,J.Langford,RB
59,M.Jones,RB
60,D.Walker,TE
61,A.Luck,QB
62,M.Gordon,RB
63,D.Johnson,RB
64,D.Woodhead,RB
65,F.Gore,RB
66,R.Jennings,RB
67,T.Yeldon,RB
68,D.Brees,QB
69,B.Roethlisberger,QB
70,J.Matthews,WR
71,D.Jackson,WR
72,M.Jones,WR
73,G.Bernard,RB
74,A.Foster,RB
75,A.Abdullah,RB
76,C.Ivory,RB
77,D.Henry,RB
78,C.Palmer,QB
79,T.Brady,QB
80,A.Hurns,WR
81,M.Crabtree,WR
82,D.Parker,WR
83,T.Lockett,WR
84,K.White,WR
85,S.Shepard,WR
86,T.Smith,WR
87,S.Diggs,WR
88,E.Manning,QB
89,B.Bortles,QB
90,P.Rivers,QB
91,T.Kelce,TE
92,C.Fleener,TE
93,T.Eifert,TE
94,D.Williams,RB
95,B.Powell,RB
96,J.Gordon,WR
97,W.Snead,WR
98,V.Jackson,WR
99,T.Austin,WR
100,J.Ajayi,RB
101,D.Funchess,WR
102,T.Riddick,RB
103,C.Sims,RB
104,I.Crowell,RB
105,J.Starks,RB
106,L.Blount,RB
107,S.Ware,RB
108,T.West,RB
109,G.Barnidge,TE
110,Z.Ertz,TE
111,A.Gates,TE
112,C.Coleman,WR
113,T.Benjamin,WR
114,M.Thomas,WR
115,W.Fuller,WR
116,T.Sharpe,WR
117,M.Wallace,WR
118,M.Sanu,WR
119,P.Dorsett,WR
120,C.Hogan,WR
121,S.Smith,WR
122,T.Boyd,WR
123,T.Coleman,RB
124,D.Booker,RB
125,D.Sproles,RB
126,J.White,RB
127,M.Wheaton,WR
128,K.Stills,WR
129,J.McKinnon,RB
130,C.Michael,RB
131,T.Taylor,QB
132,K.Cousins,QB
133,D.Carr,QB
134,M.Mariota,QB
135,K.Dixon,RB
136,J.Thomas,TE
137,Z.Miller,TE
138,M.Bennett,TE
139,J.Graham,TE
140,E.Ebron,TE
141,S.Seahawks,DST
142,D.Broncos,DST
143,C.Panthers,DST
144,C.Bengals,DST
145,H.Texans,DST
146,K.City,DST
147,A.Cardinals,DST
148,S.Gostkowski,K
149,G.Bay,DST
150,O.Raiders,DST
151,N.England,DST
152,S.Hauschka,K
153,D.Bailey,K
154,J.Tucker,K
155,A.Vinatieri,K
156,M.Crosby,K
157,G.Gano,K
158,B.Walsh,K
159,C.Catanzaro,K
160,M.Prater,K
161,A.Morris,RB
162,S.Vereen,RB
163,J.Allen,RB
164,C.Thompson,RB
165,K.Aiken,WR
166,T.Pryor,WR
167,B.Perriman,WR
168,E.Rogers,WR
169,M.Stafford,QB
170,A.Dalton,QB
171,J.Winston,QB
172,D.Washington,RB
173,C.West,RB
174,J.Witten,TE
175,D.Allen,TE
176,C.Spiller,RB
177,S.Draughn,RB
178,T.Hightower,RB
179,D.Beckham,WR
180,R.Matthews,WR
181,P.Garcon,WR
182,T.Williams,WR
183,A.Boldin,WR
184,K.Carey,RB
185,K.Britt,WR
186,L.Treadwell,WR
187,C.Conley,WR
188,C.Clay,TE
189,M.Vikings,DST
190,N.York,DST
191,R.Aguayo,K
192,C.Boswell,K
193,R.Fitzpatrick,QB
194,R.Tannehill,QB
195,M.Ryan,QB
196,B.Miller,WR
197,C.Walford,TE
198,T.Ginn,WR
199,J.Howard,RB
200,C.Johnson,RB
201,J.Forsett,RB
202,C.Prosise,RB
203,R.Kelley,RB
204,R.Bush,RB
205,B.Cunningham,RB
206,C.Payne,RB
207,L.Dunbar,RB
208,O.Darkwa,RB
209,J.Cook,TE
210,A.Jenkins,TE
211,J.Crowder,WR
212,J.Doctson,WR
213,S.Coates,WR
214,N.Agholor,WR
215,J.Strong,WR
216,D.Adams,WR
217,C.Johnson,WR
218,T.Williams,WR
219,K.Wright,WR
220,M.Mitchell,WR
221,B.Bills,DST
222,L.Angeles,DST
223,C.Santos,K
224,B.McManus,K
225,B.Osweiler,QB
226,J.Flacco,QB
227,J.Cameron,TE
228,V.Cruz,WR
229,Q.Patton,WR
230,B.LaFell,WR
231,J.Kearse,WR
232,R.Woods,WR
233,S.Roberts,WR
234,M.Lee,WR
235,M.Gillislee,RB
236,D.Foster,RB
237,W.Smallwood,RB
238,T.Ervin,RB
239,P.Perkins,RB
240,D.Lewis,RB
241,K.Drake,RB
242,Z.Zenner,RB
243,J.Cutler,QB
244,K.Rudolph,TE
245,J.James,TE
246,R.Turbin,RB
247,A.Ellington,RB
248,K.Barner,RB
249,J.Nelson,WR
250,R.Streater,WR
251,Q.Enunwa,WR
252,E.Royal,WR
253,I.Colts,DST
254,J.Jaguars,DST
255,M.Bryant,K
256,N.Novak,K
257,V.Green,TE
258,V.McDonald,TE
259,C.Gillmore,TE
260,R.Griffin,QB
261,A.Smith,QB
262,A.Humphries,WR
263,J.Abbrederis,WR
264,L.Donnell,TE
265,W.Tye,TE
266,C.Wentz,QB
267,D.Prescott,QB
268,S.Bradford,QB
269,T.Siemian,QB
270,B.Gabbert,QB
271,T.Montgomery,WR
272,A.Wilson,WR
273,C.Beasley,WR
274,A.Johnson,WR
275,L.Carroo,WR
276,M.Brown,RB
277,A.Blue,RB
278,B.Bolden,RB
279,J.Ferguson,RB
280,A.Andrews,RB
281,M.Davis,RB
282,F.Whittaker,RB
283,F.Toussaint,RB
284,J.Williams,RB
285,B.Ravens,DST
286,P.Steelers,DST
287,D.Carpenter,K
288,M.Nugent,K
289,M.Williams,TE
290,L.Green,TE
291,J.Tamme,TE
292,C.Brate,TE
293,T.Higbee,TE
294,P.Cooper,WR
295,A.Thielen,WR
296,T.Romo,QB
297,P.Eagles,DST
298,T.Bay,DST
299,C.Bears,DST
300,D.Lions,DST
